Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HT_Code,AT_Code,Outcome,GoalDifference,HomeShotEfficiency,AwayShotEfficiency,HomePossessionProxy,AwayPossessionProxy,total_goals
SP1,2011-01-29,Mallorca,Sp Gijon,0,4,A,0,1,A,16,10,3,3,17,10,4,2,4,2,0,0,23,32,-1,-4,0.0,0.4,3,2,4
SP1,2011-01-29,Sociedad,Almeria,2,0,H,1,0,H,13,22,5,5,10,23,9,2,2,3,0,0,31,1,1,2,0.15,0.0,12,1,2
SP1,2011-01-30,Ath Madrid,Ath Bilbao,0,2,A,0,1,A,16,15,7,7,17,17,3,6,3,1,1,0,3,2,-1,-2,0.0,0.13,2,4,2
SP1,2011-01-30,Espanol,Villarreal,0,1,A,0,1,A,13,16,5,6,9,13,7,5,2,4,0,0,11,37,-1,-1,0.0,0.06,11,8,1
SP1,2011-01-30,Osasuna,Real Madrid,1,0,H,0,0,D,9,21,3,4,24,9,5,5,8,3,0,0,26,27,1,1,0.11,0.0,-10,17,1
SP1,2011-01-31,Santander,Valencia,1,1,D,1,0,H,8,8,4,3,14,16,3,6,4,2,1,2,29,34,0,0,0.12,0.12,-3,-2,2
SP1,2011-05-02,Almeria,Espanol,3,2,H,3,1,H,11,17,5,5,24,16,4,6,5,3,0,0,1,11,1,1,0.27,0.12,-9,7,5
SP1,2011-05-02,Ath Bilbao,Sp Gijon,3,0,H,2,0,H,13,6,6,1,15,14,9,3,4,2,0,1,2,32,1,3,0.23,0.0,7,-5,3
SP1,2011-05-02,Barcelona,Ath Madrid,3,0,H,2,0,H,15,10,8,4,11,15,5,5,2,3,0,0,4,3,1,3,0.2,0.0,9,0,3
SP1,2011-05-02,Getafe,La Coruna,4,1,H,3,0,H,19,19,10,8,12,8,5,7,5,4,0,0,12,18,1,3,0.21,0.05,12,18,5
SP1,2011-05-02,Osasuna,Mallorca,1,1,D,1,1,D,16,8,5,4,16,14,5,4,1,1,0,0,26,23,0,0,0.06,0.12,5,-2,2
SP1,2011-05-02,Villarreal,Levante,0,1,A,0,0,D,14,11,4,4,10,14,6,7,2,7,0,0,37,21,-1,-1,0.0,0.09,10,4,1
SP1,2011-05-02,Zaragoza,Santander,1,1,D,1,1,D,18,13,5,4,20,22,4,5,4,3,0,0,39,29,0,0,0.06,0.08,2,-4,2
SP1,2011-06-02,Real Madrid,Sociedad,4,1,H,3,0,H,30,14,8,4,7,10,11,3,2,3,0,0,27,31,1,3,0.13,0.07,34,7,5
SP1,2011-06-02,Sevilla,Malaga,0,0,D,0,0,D,9,6,2,1,17,16,7,4,4,4,0,0,30,22,0,0,0.0,0.0,-1,-6,0
SP1,2011-06-02,Valencia,Hercules,2,0,H,1,0,H,15,7,7,3,17,14,4,2,3,2,0,0,34,16,1,2,0.13,0.0,2,-5,2
SP1,2011-12-02,Ath Madrid,Valencia,1,2,A,1,1,D,15,11,5,2,14,17,13,5,2,4,1,0,3,34,-1,-1,0.07,0.18,14,-1,3
SP1,2011-12-02,Santander,Sevilla,3,2,H,2,1,H,8,19,4,6,19,10,1,7,4,3,1,0,29,30,1,1,0.38,0.11,-10,16,5
SP1,2011-12-02,Sp Gijon,Barcelona,1,1,D,1,0,H,7,15,1,6,17,8,4,10,4,6,0,0,32,4,0,0,0.14,0.07,-6,17,2
SP1,2011-02-13,Espanol,Real Madrid,0,1,A,0,1,A,19,19,5,10,11,9,5,9,2,2,0,1,11,27,-1,-1,0.0,0.05,13,19,1
SP1,2011-02-13,Hercules,Zaragoza,2,1,H,0,1,A,7,11,5,6,12,17,2,3,1,3,0,0,16,39,1,1,0.29,0.09,-3,-3,3
SP1,2011-02-13,La Coruna,Villarreal,1,0,H,0,0,D,12,3,3,2,16,12,2,2,1,2,0,0,18,37,1,1,0.08,0.0,-2,-7,1
SP1,2011-02-13,Levante,Almeria,1,0,H,0,0,D,11,12,4,3,16,17,7,9,3,2,0,0,21,1,1,1,0.09,0.0,2,4,1
